epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,713.175,0.93144,0.61355,1.1088,0.76231,0.68342,0.72356,0.44076,1.44102,0.88932,1.38311,0.0070795,0.0070795,0.0070795
61,724.802,0.89836,0.58538,1.08496,0.81681,0.65329,0.72898,0.44269,1.38929,0.88191,1.41559,0.00703,0.00703,0.00703
62,736.417,0.90115,0.58447,1.09013,0.78851,0.66503,0.73343,0.44836,1.45157,0.92142,1.37385,0.0069805,0.0069805,0.0069805
63,748.024,0.92058,0.60691,1.1016,0.81495,0.73777,0.72639,0.38864,1.69214,0.87702,1.45265,0.006931,0.006931,0.006931
64,759.631,0.90828,0.58849,1.08936,0.73753,0.69347,0.69167,0.42287,1.41478,0.92818,1.39191,0.0068815,0.0068815,0.0068815
65,771.24,0.90439,0.58684,1.09992,0.808,0.72156,0.72022,0.43546,1.3861,0.87462,1.37518,0.006832,0.006832,0.006832
66,782.828,0.88488,0.58497,1.09051,0.83991,0.65998,0.71112,0.43235,1.44346,0.95543,1.42498,0.0067825,0.0067825,0.0067825
67,794.474,0.89545,0.57701,1.09078,0.84357,0.6843,0.73513,0.44924,1.40944,0.94704,1.44388,0.006733,0.006733,0.006733
68,806.28,0.90977,0.58174,1.09034,0.82019,0.70714,0.75804,0.45025,1.51669,0.94282,1.46358,0.0066835,0.0066835,0.0066835
69,817.95,0.8601,0.56554,1.07407,0.87081,0.67297,0.7422,0.43828,1.5005,0.90352,1.4071,0.006634,0.006634,0.006634
70,829.521,0.87384,0.56721,1.07361,0.90009,0.65288,0.73409,0.40215,1.68893,0.9603,1.47919,0.0065845,0.0065845,0.0065845
71,841.164,0.86804,0.55803,1.07262,0.79935,0.69234,0.74077,0.45719,1.4567,0.89871,1.43032,0.006535,0.006535,0.006535
72,853.323,0.85904,0.55632,1.07074,0.85975,0.67731,0.74245,0.45363,1.4116,0.96097,1.42369,0.0064855,0.0064855,0.0064855
73,864.986,0.87338,0.56286,1.08025,0.7808,0.68908,0.7243,0.443,1.45197,0.92296,1.42435,0.006436,0.006436,0.006436
74,876.622,0.84528,0.54813,1.06646,0.80906,0.6666,0.75005,0.46405,1.43709,0.87969,1.41355,0.0063865,0.0063865,0.0063865
75,888.515,0.83787,0.54488,1.06044,0.86014,0.65616,0.72965,0.44372,1.41901,0.90577,1.40998,0.006337,0.006337,0.006337
76,900.161,0.86932,0.55675,1.07093,0.80592,0.67448,0.71089,0.40137,1.6391,0.9408,1.46524,0.0062875,0.0062875,0.0062875
77,911.828,0.85678,0.55072,1.0698,0.77845,0.71706,0.72229,0.41324,1.58426,0.91736,1.45639,0.006238,0.006238,0.006238
78,923.421,0.82262,0.53495,1.05091,0.8143,0.66742,0.73369,0.44,1.53593,0.91271,1.41369,0.0061885,0.0061885,0.0061885
79,935.089,0.82379,0.53886,1.0506,0.81319,0.70146,0.73251,0.44455,1.39555,0.86554,1.40164,0.006139,0.006139,0.006139
80,946.887,0.83976,0.52769,1.05239,0.90453,0.6684,0.73433,0.45335,1.46791,0.95899,1.4455,0.0060895,0.0060895,0.0060895
81,958.519,0.834,0.53821,1.06008,0.72075,0.72708,0.75213,0.47262,1.39093,0.85157,1.40329,0.00604,0.00604,0.00604
