epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1485.18,1.05122,0.65417,1.39359,0.93686,0.95876,0.94089,0.63972,1.28524,0.61467,2.20348,0.0021785,0.0021785,0.0021785
59,1510.76,1.03317,0.64743,1.40032,0.89237,0.94845,0.92611,0.61753,1.32754,0.71545,2.27364,0.002129,0.002129,0.002129
60,1536.19,1.00325,0.63221,1.36477,0.8747,0.95876,0.92539,0.57589,1.41899,0.77526,2.38694,0.0020795,0.0020795,0.0020795
61,1561.6,1.00967,0.62964,1.38019,0.94813,0.95876,0.95272,0.67263,1.25845,0.6316,2.21606,0.00203,0.00203,0.00203
62,1587.36,1.01567,0.65218,1.39436,0.93898,0.95189,0.95481,0.64978,1.33531,0.65539,2.25666,0.0019805,0.0019805,0.0019805
63,1612.89,0.98966,0.62018,1.33871,0.94372,0.95876,0.94336,0.62458,1.32418,0.70372,2.29887,0.001931,0.001931,0.001931
64,1638.39,0.98779,0.62812,1.36686,0.96841,0.94809,0.9566,0.63578,1.24713,0.63767,2.21898,0.0018815,0.0018815,0.0018815
65,1663.75,0.98504,0.62483,1.37343,0.94718,0.95876,0.95413,0.60122,1.43306,0.68975,2.47638,0.001832,0.001832,0.001832
66,1689.13,0.9814,0.61901,1.36825,0.93149,0.95876,0.95166,0.67065,1.28655,0.63941,2.22374,0.0017825,0.0017825,0.0017825
67,1714.57,0.96878,0.60413,1.36949,0.96756,0.96907,0.96847,0.67942,1.25895,0.61937,2.18072,0.001733,0.001733,0.001733
68,1740.61,0.95417,0.59988,1.3341,0.94887,0.95671,0.97833,0.63939,1.33332,0.71528,2.25843,0.0016835,0.0016835,0.0016835
69,1766.27,0.96583,0.59686,1.34292,0.94878,0.95493,0.94746,0.64891,1.29297,0.63259,2.20448,0.001634,0.001634,0.001634
70,1791.72,0.98352,0.60341,1.34606,0.94514,0.95876,0.96146,0.63406,1.30557,0.6495,2.25591,0.0015845,0.0015845,0.0015845
71,1817.21,0.97172,0.59754,1.35476,0.96898,0.96609,0.96445,0.65494,1.28715,0.60406,2.24456,0.001535,0.001535,0.001535
72,1842.77,0.95565,0.59563,1.33398,0.94911,0.97938,0.96575,0.65917,1.29351,0.57979,2.21934,0.0014855,0.0014855,0.0014855
73,1868.26,0.98454,0.59594,1.33175,0.94865,0.95237,0.96438,0.64211,1.31827,0.64117,2.25171,0.001436,0.001436,0.001436
74,1893.71,0.93482,0.58838,1.32869,0.92126,0.95876,0.95286,0.65688,1.31014,0.61599,2.2347,0.0013865,0.0013865,0.0013865
75,1919.11,0.94954,0.58971,1.33767,0.93938,0.95855,0.94661,0.64384,1.30131,0.60826,2.24425,0.001337,0.001337,0.001337
76,1944.71,0.94829,0.57788,1.33171,0.91159,0.9567,0.9496,0.63434,1.28863,0.60484,2.2116,0.0012875,0.0012875,0.0012875
77,1970.39,0.91788,0.56746,1.30532,0.93767,0.94845,0.95545,0.67053,1.27392,0.59054,2.19941,0.001238,0.001238,0.001238
78,1995.78,0.93557,0.57829,1.33638,0.94235,0.94845,0.96024,0.63583,1.35767,0.658,2.29827,0.0011885,0.0011885,0.0011885
79,2021.41,0.92664,0.56433,1.31939,0.92999,0.96907,0.95676,0.66954,1.27763,0.60129,2.20081,0.001139,0.001139,0.001139
80,2046.99,0.94088,0.57609,1.3447,0.9337,0.96907,0.9635,0.64058,1.30451,0.64933,2.22464,0.0010895,0.0010895,0.0010895
81,2072.71,0.91612,0.56324,1.30971,0.92859,0.96907,0.95943,0.65124,1.30589,0.62098,2.26103,0.00104,0.00104,0.00104
82,2098.32,0.90927,0.56311,1.32648,0.95666,0.96907,0.96884,0.67955,1.26922,0.60488,2.19498,0.0009905,0.0009905,0.0009905
83,2124.28,0.9236,0.55737,1.31009,0.94007,0.97025,0.97557,0.65347,1.28685,0.58724,2.16654,0.000941,0.000941,0.000941
84,2149.98,0.9049,0.55094,1.30661,0.95784,0.95876,0.95358,0.65715,1.23735,0.59211,2.14318,0.0008915,0.0008915,0.0008915
85,2175.48,0.89925,0.54563,1.29571,0.96856,0.97938,0.97822,0.65595,1.27325,0.62137,2.19486,0.000842,0.000842,0.000842
86,2201.08,0.90645,0.55248,1.3221,0.93766,0.95876,0.95824,0.65302,1.27467,0.62426,2.2232,0.0007925,0.0007925,0.0007925
87,2226.57,0.88198,0.54365,1.30396,0.93064,0.96822,0.96984,0.67625,1.26477,0.61827,2.21919,0.000743,0.000743,0.000743
88,2252.22,0.90245,0.53761,1.2951,0.94847,0.95876,0.96991,0.66513,1.28151,0.5958,2.2258,0.0006935,0.0006935,0.0006935
89,2277.76,0.87964,0.537,1.29471,0.9678,0.96907,0.97031,0.68601,1.28219,0.57042,2.22995,0.000644,0.000644,0.000644
90,2303.62,0.8686,0.5234,1.28593,0.95872,0.96907,0.96616,0.67837,1.28424,0.60171,2.22952,0.0005945,0.0005945,0.0005945
91,2330.5,0.855,0.44316,1.38613,0.9584,0.96907,0.95677,0.67251,1.2573,0.54766,2.19883,0.000545,0.000545,0.000545
92,2356.06,0.83945,0.40644,1.38069,0.95813,0.96907,0.95905,0.66262,1.30063,0.55528,2.24955,0.0004955,0.0004955,0.0004955
93,2381.83,0.83864,0.40468,1.35562,0.96373,0.96907,0.96634,0.67279,1.28611,0.54399,2.22986,0.000446,0.000446,0.000446
94,2407.5,0.81347,0.4035,1.33841,0.96779,0.96907,0.96736,0.67091,1.27443,0.55663,2.23384,0.0003965,0.0003965,0.0003965
95,2432.86,0.80781,0.39034,1.34574,0.96785,0.96907,0.97397,0.67028,1.29152,0.56414,2.24661,0.000347,0.000347,0.000347
96,2458.42,0.81402,0.38639,1.33095,0.97845,0.97938,0.98075,0.67971,1.26042,0.54949,2.22401,0.0002975,0.0002975,0.0002975
97,2483.77,0.78258,0.38241,1.32629,0.95955,0.97817,0.97722,0.66202,1.27064,0.5502,2.22729,0.000248,0.000248,0.000248
98,2509.16,0.78581,0.37884,1.32351,0.96619,0.96907,0.97102,0.66876,1.28479,0.56643,2.2655,0.0001985,0.0001985,0.0001985
99,2534.8,0.79305,0.37979,1.32741,0.95767,0.95876,0.96559,0.67149,1.26974,0.55352,2.22427,0.000149,0.000149,0.000149
100,2560.29,0.78976,0.38094,1.35158,0.96766,0.96907,0.97202,0.67102,1.26349,0.55749,2.22811,9.95e-05,9.95e-05,9.95e-05
